Prompt,Category
Calculate the trend rotational_speed.,parameter_query: rotational_speed
Find the trend rotational_speed.,parameter_query: rotational_speed
Determine the trend rotational_speed.,parameter_query: rotational_speed
Show me the trend rotational_speed.,parameter_query: rotational_speed
Give me the trend rotational_speed.,parameter_query: rotational_speed
Provide the trend rotational_speed.,parameter_query: rotational_speed
What is the average system_load?,parameter_query: system_load
Calculate the average system_load.,parameter_query: system_load
Find the average system_load.,parameter_query: system_load
Determine the average system_load.,parameter_query: system_load
Show me the average system_load.,parameter_query: system_load
Give me the average system_load.,parameter_query: system_load
Provide the average system_load.,parameter_query: system_load
What is the maximum system_load?,parameter_query: system_load
Calculate the maximum system_load.,parameter_query: system_load
Find the maximum system_load.,parameter_query: system_load
Determine the maximum system_load.,parameter_query: system_load
Show me the maximum system_load.,parameter_query: system_load
Give me the maximum system_load.,parameter_query: system_load
Provide the maximum system_load.,parameter_query: system_load
What is the minimum system_load?,parameter_query: system_load
Calculate the minimum system_load.,parameter_query: system_load
Find the minimum system_load.,parameter_query: system_load
Determine the minimum system_load.,parameter_query: system_load
Show me the minimum system_load.,parameter_query: system_load
Give me the minimum system_load.,parameter_query: system_load
Provide the minimum system_load.,parameter_query: system_load
What is the latest system_load?,parameter_query: system_load
Calculate the latest system_load.,parameter_query: system_load
Find the latest system_load.,parameter_query: system_load
Determine the latest system_load.,parameter_query: system_load
Show me the latest system_load.,parameter_query: system_load
Give me the latest system_load.,parameter_query: system_load
Provide the latest system_load.,parameter_query: system_load
What is the trend system_load?,parameter_query: system_load
Calculate the trend system_load.,parameter_query: system_load
Find the trend system_load.,parameter_query: system_load
Determine the trend system_load.,parameter_query: system_load
Show me the trend system_load.,parameter_query: system_load
Give me the trend system_load.,parameter_query: system_load
Provide the trend system_load.,parameter_query: system_load
What is the average torque?,parameter_query: torque
Calculate the average torque.,parameter_query: torque
Find the average torque.,parameter_query: torque
Determine the average torque.,parameter_query: torque
Show me the average torque.,parameter_query: torque
Give me the average torque.,parameter_query: torque
Provide the average torque.,parameter_query: torque
What is the maximum torque?,parameter_query: torque
Calculate the maximum torque.,parameter_query: torque
Find the maximum torque.,parameter_query: torque
Determine the maximum torque.,parameter_query: torque
Show me the maximum torque.,parameter_query: torque
Give me the maximum torque.,parameter_query: torque
Provide the maximum torque.,parameter_query: torque
What is the minimum torque?,parameter_query: torque
Calculate the minimum torque.,parameter_query: torque
Find the minimum torque.,parameter_query: torque
Determine the minimum torque.,parameter_query: torque
Show me the minimum torque.,parameter_query: torque
Give me the minimum torque.,parameter_query: torque
Provide the minimum torque.,parameter_query: torque
What is the latest torque?,parameter_query: torque
Calculate the latest torque.,parameter_query: torque
Find the latest torque.,parameter_query: torque
Determine the latest torque.,parameter_query: torque
Show me the latest torque.,parameter_query: torque
Give me the latest torque.,parameter_query: torque
